Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background,label
0,0,68,76,0,0,0,0,0,0,72,36,64,16,64,24,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,24,80,16,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,20,68,28,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,56,60,20,76,32,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,68,20,76,36,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,64,24,64,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,56,64,16,76,44,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,16,68,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,48,64,16,72,32,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,20,76,40,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,56,64,16,80,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,64,16,80,16,0,0,0,unknow
0,0,68,76,0,0,0,0,76,32,0,44,64,16,72,24,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,16,72,24,0,0,0,unknow
0,0,0,0,0,0,0,0,76,32,0,52,64,16,84,72,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,56,64,16,76,44,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,16,68,28,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,64,20,76,72,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,56,68,20,76,40,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,56,68,20,80,16,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,48,64,16,76,72,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,48,64,16,80,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,68,20,80,16,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,20,72,32,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,20,76,40,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,68,20,72,20,0,0,0,unknow
